zip,state_name,city,population
601,Puerto Rico,Adjuntas,16834.0
602,Puerto Rico,Aguada,37642.0
603,Puerto Rico,Aguadilla,49075.0
606,Puerto Rico,Maricao,5590.0
610,Puerto Rico,Anasco,25542.0
611,Puerto Rico,Angeles,1315.0
612,Puerto Rico,Arecibo,63312.0
616,Puerto Rico,Bajadero,9625.0
617,Puerto Rico,Barceloneta,22573.0
622,Puerto Rico,Boqueron,7577.0
623,Puerto Rico,Cabo Rojo,39406.0
624,Puerto Rico,Penuelas,21648.0
627,Puerto Rico,Camuy,32733.0
631,Puerto Rico,Castaner,1431.0
637,Puerto Rico,Sabana Grande,22882.0
638,Puerto Rico,Ciales,17605.0
641,Puerto Rico,Utuado,24299.0
646,Puerto Rico,Dorado,35926.0
647,Puerto Rico,Ensenada,4702.0
650,Puerto Rico,Florida,13767.0
652,Puerto Rico,Garrochales,3924.0
653,Puerto Rico,Guanica,8980.0
656,Puerto Rico,Guayanilla,18121.0
659,Puerto Rico,Hatillo,37066.0
660,Puerto Rico,Hormigueros,15483.0
662,Puerto Rico,Isabela,40480.0
664,Puerto Rico,Jayuya,14967.0
667,Puerto Rico,Lajas,23370.0
669,Puerto Rico,Lares,27529.0
670,Puerto Rico,Las Marias,8746.0
674,Puerto Rico,Manati,39385.0
676,Puerto Rico,Moca,36683.0
677,Puerto Rico,Rincon,15304.0
678,Puerto Rico,Quebradillas,25039.0
680,Puerto Rico,Mayaguez,43173.0
682,Puerto Rico,Mayaguez,30414.0
683,Puerto Rico,San German,29547.0
685,Puerto Rico,San Sebastian,40346.0
687,Puerto Rico,Morovis,28659.0
688,Puerto Rico,Sabana Hoyos,11478.0
690,Puerto Rico,San Antonio,5781.0
692,Puerto Rico,Vega Alta,33302.0
693,Puerto Rico,Vega Baja,55570.0
694,Puerto Rico,Vega Baja,98.0
698,Puerto Rico,Yauco,33506.0
703,Puerto Rico,Aguas Buenas,24475.0
704,Puerto Rico,Aguirre,6831.0
705,Puerto Rico,Aibonito,24401.0
707,Puerto Rico,Maunabo,10487.0
714,Puerto Rico,Arroyo,15797.0
715,Puerto Rico,Mercedita,2040.0
716,Puerto Rico,Ponce,27166.0
717,Puerto Rico,Ponce,15029.0
718,Puerto Rico,Naguabo,23289.0
719,Puerto Rico,Naranjito,29523.0
720,Puerto Rico,Orocovis,20816.0
723,Puerto Rico,Patillas,15978.0
725,Puerto Rico,Caguas,77244.0
727,Puerto Rico,Caguas,53258.0
728,Puerto Rico,Ponce,38590.0
729,Puerto Rico,Canovanas,47826.0
730,Puerto Rico,Ponce,32267.0
731,Puerto Rico,Ponce,10473.0
735,Puerto Rico,Ceiba,11164.0
736,Puerto Rico,Cayey,45867.0
